layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
conv1,0,1,1.0,1,2,1
conv1,0,2,0.5,5,2,1
conv1,0,3,0.6666666666666666,6,6,4
conv1,0,4,0.5,8,8,4
conv1,0,5,0.5833333333333334,14,12,7
conv1,0,6,0.6666666666666666,18,19,12
layer4,0,6,0.0,2,2,0
conv1,0,7,0.7727272727272727,22,25,17
conv1,0,8,0.8461538461538461,26,30,22
layer4,0,8,1.0,1,4,1
conv1,0,9,0.9642857142857143,28,34,27
layer4,0,9,1.0,1,4,1
conv1,1,0,0.9354838709677419,31,35,29
layer4,1,0,0.0,188,4,0
conv1,1,1,0.9310344827586207,29,37,27
layer4,1,1,0.9166666666666666,202,192,176
conv1,1,2,1.0,32,39,32
layer4,1,2,0.9858156028368794,141,218,139
conv1,1,3,0.967741935483871,31,39,30
layer4,1,3,0.9401197604790419,167,220,157
conv1,1,4,1.0,30,40,30
layer4,1,4,1.0,118,230,118
conv1,1,5,1.0,32,40,32
layer4,1,5,0.9908256880733946,109,230,108
conv1,1,6,0.9666666666666667,30,40,29
layer4,1,6,0.981651376146789,109,231,107
conv1,1,7,0.967741935483871,31,41,30
layer4,1,7,0.9393939393939394,132,233,124
conv1,1,8,1.0,31,42,31
layer4,1,8,0.9076923076923077,130,241,118
conv1,1,9,0.9696969696969697,33,42,32
layer4,1,9,0.9741379310344828,116,253,113
conv1,2,0,0.9666666666666667,30,43,29
layer4,2,0,0.6640625,369,256,170
conv1,2,1,1.0,29,44,29
layer4,2,1,0.997134670487106,349,455,348
conv1,2,2,0.9666666666666667,30,44,29
layer4,2,2,0.9913793103448276,348,456,345
conv1,2,3,1.0,31,45,31
layer4,2,3,1.0,333,459,333
conv1,2,4,1.0,31,45,31
layer4,2,4,1.0,329,459,329
conv1,2,5,1.0,27,45,27
layer4,2,5,1.0,311,459,311
conv1,2,6,1.0,32,45,32
layer4,2,6,1.0,273,459,273
conv1,2,7,1.0,27,45,27
layer4,2,7,0.9965753424657534,292,459,291
conv1,2,8,0.9705882352941176,34,45,33
layer4,2,8,1.0,259,460,259
conv1,2,9,1.0,30,46,30
layer4,2,9,0.992831541218638,279,460,277
conv1,3,0,1.0,32,46,32
layer4,3,0,0.9002267573696145,441,462,397
conv1,3,1,1.0,32,46,32
layer4,3,1,1.0,430,506,430
conv1,3,2,1.0,31,46,31
layer4,3,2,1.0,430,506,430
conv1,3,3,1.0,30,46,30
layer4,3,3,1.0,425,506,425
conv1,3,4,1.0,32,46,32
layer4,3,4,1.0,422,506,422
conv1,3,5,1.0,30,46,30
layer4,3,5,1.0,409,506,409
conv1,3,6,1.0,32,46,32
layer4,3,6,1.0,393,506,393
conv1,3,7,0.9375,32,46,30
layer4,3,7,1.0,400,506,400
conv1,3,8,1.0,28,48,28
layer4,3,8,1.0,398,506,398
conv1,3,9,1.0,30,48,30
layer4,3,9,1.0,395,506,395
conv1,4,0,1.0,33,48,33
layer4,4,0,0.9876796714579056,487,506,481
conv1,4,1,1.0,33,48,33
layer4,4,1,1.0,470,512,470
conv1,4,2,1.0,32,48,32
layer4,4,2,1.0,462,512,462
conv1,4,3,1.0,31,48,31
layer4,4,3,1.0,459,512,459
conv1,4,4,1.0,32,48,32
layer4,4,4,1.0,459,512,459
conv1,4,5,1.0,32,48,32
layer4,4,5,1.0,454,512,454
conv1,4,6,1.0,34,48,34
layer4,4,6,1.0,448,512,448
conv1,4,7,1.0,32,48,32
layer3,4,7,1.0,1,1,1
layer4,4,7,1.0,456,512,456
conv1,4,8,0.9705882352941176,34,48,33
layer3,4,8,1.0,1,1,1
layer4,4,8,1.0,453,512,453
conv1,4,9,1.0,33,49,33
layer3,4,9,1.0,1,1,1
layer4,4,9,1.0,438,512,438
